step,true_distance_cm,observed_distance_cm,estimated_distance_cm,target_distance_cm,control_error_cm,predicted_next_distance_cm,prediction_error_cm,action_value,servo_angle,led_intensity,reason,disturbance
122,8.354429199952191,7.130477460397243,14.374639615001625,30.0,-15.625360384998375,14.697135408010315,-11.3344521338546,-5.93492146532414,66,125,distance_too_small_increase_distance,0.06274647223471065
123,6.059461200842484,5.092524804555138,11.125899431345355,30.0,-18.874100568654647,11.600693148571287,-9.604610603455177,-7.4390720976946865,60,150,distance_too_small_increase_distance,0.0769988393901178
124,5.0,4.2975093512282605,8.735962903304372,30.0,-21.264037096695628,9.331088671119947,-7.303183797343026,-8.572869191686967,55,170,distance_too_small_increase_distance,0.4757156513341528
125,5.0,4.927051701168004,7.402843982556644,30.0,-22.597156017443357,8.088673517891602,-4.404036969951942,-9.23923660505815,53,180,distance_too_small_increase_distance,0.2922889360701025
126,5.086120100394288,4.4699859723905995,6.376343678998528,30.0,-23.623656321001473,7.11548260740318,-3.618687545501002,-9.957265481585866,50,188,distance_too_small_increase_distance,0.12490487070232827
127,5.988400832884187,6.713565995785949,6.4943714898741245,30.0,-23.505628510125874,7.290952728400994,-0.40191661161723147,-10.008482043494585,49,188,distance_too_small_increase_distance,0.5121560119268466
128,7.60739712412871,5.776770938641013,6.243211296942536,30.0,-23.756788703057463,7.0438898604221025,-1.5141817897599807,-10.551542515909297,47,190,distance_too_small_increase_distance,-0.4160670690129978
129,9.94599142443574,10.202467620014952,7.628951010017882,30.0,-22.371048989982118,8.473074411290627,3.1585777595928493,-9.944979591945856,50,178,distance_too_small_increase_distance,-0.22391303646241167
130,12.900267412102348,12.354094431762157,9.28275120762838,30.0,-20.71724879237162,10.078349574984047,3.8810200204715297,-9.502168934237288,51,165,distance_too_small_increase_distance,-0.3243015794919337
131,16.40109592381605,16.69962228320089,11.878656084078756,30.0,-18.121343915921244,12.63882959881774,6.621272708216841,-8.476446015522177,56,144,distance_too_small_increase_distance,-0.13643343110451878
132,20.310890113369336,21.817637858572937,15.357299705151718,30.0,-14.642700294848282,16.035415386393492,9.178808259755197,-7.040853675277287,61,117,distance_too_small_increase_distance,-0.48184015164470806
133,24.521382145245326,24.39081651539195,18.5190305887358,30.0,-11.480969411264201,19.082298882757982,8.355401128998459,-5.95486204758849,66,91,distance_too_small_increase_distance,0.2223028313850415
134,28.909639801497846,28.99212089490766,22.18461219589595,30.0,-7.8153878041040485,22.66100115970303,9.909822012149679,-4.42170143045605,72,62,distance_too_small_increase_distance,-0.07777794398457068
135,33.31871642609538,33.91229051824048,26.28929960871654,30.0,-3.71070039128346,26.643035723153023,11.251289358537452,-2.65678994569536,79,29,distance_too_small_increase_distance,-0.5147822030759303
136,37.61392824870558,36.47728961610308,29.855096111301826,30.0,-0.14490388869817394,30.067639306957457,9.834253892950056,-1.2798849731917792,84,1,stable_near_target,-0.35545267842263956
137,41.71635253391879,42.17104034182618,34.165676591985346,30.0,4.165676591985346,34.26806738984069,12.103401034868721,0.7568964527566908,93,33,distance_too_large_reduce_distance,0.10972984660756833
